site_number,address,acreage,notes
11,3265 Coles Ferry Pike,56,
9,3370 Coles Ferry Pike,105,
10,3345 Coles Ferry Pike,93,
8,914 Maple Hill Road,164,
7,208 Oriole Drive,97,
6,6390 Coles Ferry Pike,223,
5,5335 Coles Ferry Pike,187,
4,755 Coles Ferry Pike,49,
3,800 Berea Church Road,70,
2,3965 Mann Road,66,
1,3230 Mann Road,234,
15,1103 Baddour Drive,47,TRW
14,1310 Quarles Drive,24,"by perma pipe; across street from current plant on industrial site"
13,510 Hartman Drive,59,Rockwood
12,511 Walker Lane,356,close to Wilson County landfill
